composer,era
Romanos the Melodist,medieval
Yared,medieval
Khosrovidukht,medieval
Sahakdukht,medieval
Otfrid of Weissenburg,medieval
Kassia,medieval
Notker the Stammerer,medieval
Hucbald,medieval
Tuotilo,medieval
Stephen of Liège,medieval
Leo VI the Wise,medieval
Odo of Cluny,medieval
Heriger of Lobbes,medieval
Odo of Arezzo,medieval
Adémar de Chabannes,medieval
Guido of Arezzo,medieval
Wipo of Burgundy,medieval
Hermann of Reichenau,medieval
Godric of Finchale,medieval
Adam of Saint Victor,medieval
William IX Duke of Aquitaine,medieval
Peter Abelard,medieval
Demetrius I of Georgia,medieval
Jocelin of Soissons,medieval
Hildegard of Bingen,medieval
Marcabru,medieval
Bernard of Cluny,medieval
Jaufre Rudel,medieval
Albertus Parisiensis,medieval
Bernart de Ventadorn,medieval
Peire d'Alvernhe,medieval
Chrétien de Troyes,medieval
Tibors de Sarenom,medieval
Léonin,medieval
Giraut de Bornelh,medieval
Berenguier de Palazol,medieval
Arnaut de Mareuil,medieval
Beatritz de Dia,medieval
Bertran de Born,medieval
Heinrich von Veldeke,medieval
Vidame de Chartres,medieval
Raimbaut of Orange,medieval
Guilhem de Saint-Leidier,medieval
Arnaut Daniel,medieval
Conon de Béthune,medieval
Folquet de Marselha,medieval
Friedrich von Hausen,medieval
Gontier de Soignies,medieval
Peire Raimon de Tolosa,medieval
Raimbaut de Vaqueiras,medieval
Azalais de Porcairagues,medieval
Blondel de Nesle,medieval
Reinmar von Hagenau,medieval
Richard I of England,medieval
Alamanda de Castelnau,medieval
Audefroi le Bastart,medieval
Cadenet (troubadour),medieval
Gace Brulé,medieval
Monge de Montaudon,medieval
Pérotin,medieval
Perdigon,medieval
Peirol,medieval
Philip the Chancellor,medieval
Raimon de Miraval,medieval
Albertet de Sestaro,medieval
Le Chastelain de Couci,medieval
Chastelain de Couci,medieval
Gautier de Dargies,medieval
Bernger von Horheim,medieval
Guillem Magret,medieval
Castelloza,medieval
Gaucelm Faidit,medieval
Gui d'Ussel,medieval
Pierre de Molins,medieval
Pons d'Ortaffa,medieval
Richart de Semilli,medieval
Walther von der Vogelweide,medieval
Wolfram von Eschenbach,medieval
Aimeric de Peguilhan,medieval
Guilhem Ademar,medieval
Peire Vidal,medieval
Pons de Capduelh,medieval
Gautier de Coincy,medieval
Maria de Ventadorn,medieval
Guillem Augier Novella,medieval
Colin Muset,medieval
Garsenda de Proensa,medieval
Peire Cardenal,medieval
Daude de Pradas,medieval
Aimeric de Belenoi,medieval
Guiot de Dijon,medieval
Uc de Saint Circ,medieval
Hue de la Ferté,medieval
Neidhart von Reuental,medieval
Guillaume le Vinier,medieval
Eustache le Peintre de Reims,medieval
Gilles le Vinier,medieval
Moniot d'Arras,medieval
Hadewijch,medieval
Jehan Erart,medieval
Adam de Givenchi,medieval
Guibert Kaukesel,medieval
Dames Margot and Maroie,medieval
Dame Maroie,medieval
Reinmar von Zweter,medieval
Sordello,medieval
Wincenty of Kielcza,medieval
Theobald I of Navarre,medieval
Richard de Fournival,medieval
Gautier d'Épinal,medieval
Gertrude of Dagsburg,medieval
Jehan Bretel,medieval
Martín Codax,medieval
Thomas Herier,medieval
Raoul de Soissons,medieval
Guiraut d'Espanha,medieval
Lambert Ferri,medieval
Alfonso X of Castile,medieval
Robert de la Piere,medieval
Henry III Duke of Brabant,medieval
Guiraut Riquier,medieval
Konrad von Würzburg,medieval
Adam de la Halle,medieval
Meister Rumelant,medieval
W. de Wycombe,medieval
Jehan de Lescurel,medieval
Ernoul le Vielle de Gastinois,medieval
Franco of Cologne,medieval
Der wilde Alexander,medieval
Casella (Divine Comedy),medieval
Petrus de Cruce,medieval
Denis of Portugal,medieval
Marchetto da Padova,medieval
John Kukuzelis,medieval
Philippe de Vitry,medieval
Maestro Piero,medieval
Guillaume de Machaut,medieval
Jacopo da Bologna,medieval
Giovanni da Cascia,medieval
Gherardello da Firenze,medieval
John Hanboys,medieval
Francesco Landini,medieval
Lorenzo da Firenze,medieval
Donato da Cascia,medieval
Joachim Domestikos Of Serbia,medieval
Grimace,medieval
Mönch von Salzburg,medieval
de:Mönch von Salzburg,medieval
P. des Molins,medieval
Jehan Vaillant,medieval
Johannes Alanus,medieval
Vincenzo da Rimini,medieval
Bartolino da Padova,medieval
Matheus de Sancto Johanne,medieval
Philippus de Caserta,medieval
Egardus,medieval
Egidius de Francia,medieval
Johannes Cuvelier,medieval
François Andrieu,medieval
Johannes Symonis Hasprois,medieval
Goscalch,medieval
Arrigo,medieval
Niccolò da Perugia,medieval
Jehan Suzay,medieval
Trebor (composer),medieval
Jan of Jenstejn,medieval
Jan of Jenstejn,medieval
Záviš of Zápy,medieval
Zacara da Teramo,medieval
Antonio Zacara da Teramo,medieval
Jacob Senleches,medieval
Andrea da Firenze,medieval
Paolo da Firenze,medieval
Solage,medieval
Hugo von Montfort,medieval
Giovanni Mazzuoli,medieval
Grazioso da Padova,medieval
Martinus Fabri,medieval
Borlet,medieval
Aleyn,medieval
Johannes Ciconia,medieval
Matteo da Perugia,medieval
Johannes de Lymburgia,medieval
Johannes Tapissier,medieval
Antonio da Cividale,medieval
Antonello da Caserta,medieval
Nicolas Grenon,medieval
Oswald von Wolkenstein,medieval
Andrea Stefani,medieval
Bartolomeo da Bologna,medieval
Baude Cordier,medieval
Thomas Fabri,medieval
Pierre Fontaine,medieval
Piero Mazzuoli,medieval
Nicolaus Ricii de Nucella Campli,medieval
Mikołaj Radomski,medieval
Ugolino da Forlì,medieval
Ugolino da Orvieto,medieval
it:Ugolino da Orvieto,medieval
Leonel Power,medieval
Jacobus Vide,medieval
Queldryk,medieval
Johannes Cesaris,medieval
Roy Henry,medieval
Henry V of England,medieval
Byttering,medieval
Conradus de Pistoia,medieval
John Dunstaple,medieval
Hugo de Lantins,medieval
Richard Loqueville,medieval
Pycard,medieval
Arnold de Lantins,medieval
Guillaume Dufay,medieval
Estienne Grossin,medieval
Gilles Binchois,medieval
Johannes Brassart,medieval
Manuel Chrysaphes,medieval
Johannes Tapissier,renaissance
